,tweet
96,"@Robert_Martin72 They literally are acting likr children, if we put up Palestine flags every they just come and try to take that down. #FreePalestine #SherineAbuAqleh #IsraeliCrimes #Banisrael #boycottisrael"
97,"@sa__suffit The clearer it gets that these racist Zionists are losing, the world is finally waking up to the horror of #ApartheidIsrael, and stand in solidarity with Palestinians, the MORE aggressive +""unhinged"" they get, as Zirin states here: 
https://t.co/AMeFVr1T4R"
98,"Israel continues to violate every known provision of international law.
#FreePalestine #BDS"
99,"The level of evil to shoot mourners in a funeral yall..  It’s monstrous.

#Israel 
#ApartheidIsrael https://t.co/kOSlLQ0pFS"
100,"@RedlineRagtop @RepRashida YES YES, KEEP THE                           $38 BILLION That’s Given to #ApartheidIsrael , will bring CLEAN water to flint ."
101,@OnlinePalEng They are literally cowards and cant fight us face to face without guns. We dare you cowards to foght without guns #coward #Israeli #FreePalestine #boycottisrael
102,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
103,So called #Israel #women #IsraeliCrimes https://t.co/etjE2VHeV6
104,"Dear Queen, or Prince Charles, or whoever's running the show, if you don't want the non-violent #BDS are you advocating armed resistance? https://t.co/mrIEUmRmxa"
105,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
106,"Dear Queen, or Prince Charles, or whoever's running the show, if you don't want the non-violent #BDS are you advocating armed resistance? https://t.co/mrIEUmRmxa"
107,"For #Israel, it's not enough to have shot dead Palestinian journalist #ShireenAbuAkleh.
It's necessary to brutalize the funeral. Shame on the White House for supporting this apartheid state.
Shame on Arab countries and their ""normalization"" with this apartheid state. 
#BDS NOW! https://t.co/0l1j5TItDc"
